PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_SECTION;REQUIREMENTS_ATTRIBUTES_SUBSECTION;REQUIREMENTS_ATTRIBUTES_SUBGROUP;REQUIREMENTS_ATTRIBUTES_SERVICE;REQUIREMENTS_ATTRIBUTES_TYPE;STATUS;STATUSEXTENDED;RESOURCEID;CHECKID;MUTED;RESOURCENAME;FRAMEWORK;NAME;REQUIREMENTS_ATTRIBUTES_COMMENT
aws;System and Organization Controls (SOC), defined by the American Institute of Certified Public Accountants (AICPA), is the name of a set of reports that's produced during an audit. It's intended for use by service organizations (organizations that provide information systems as a service to other organizations) to issue validated reports of internal controls over those information systems to the users of those services. The reports focus on controls grouped into five categories known as Trust Service Principles.;213146990554;ap-southeast-2;2026-07-15 20:14:58.543427;cc_6_3;Creates or Modifies Access to Protected Information Assets - Processes are in place to create or modify access to protected information assets based on authorization from the asset’s owner. Removes Access to Protected Information Assets - Processes are in place to remove access to protected information assets when an individual no longer requires access. Uses Role-Based Access Controls - Role-based access control is utilized to support segregation of incompatible functions.;CC6.0 - Logical and Physical Access;;;iam;automated;PASS;IAM Role Omico-2IDP does not have AmazonBedrockFullAccess policy attached.;arn:aws:iam::213146990554:role/Omico-2IDP;bedrock_full_access_policy_attached;False;Omico-2IDP;SOC2;System and Organization Controls 2 (SOC2);
aws;System and Organization Controls (SOC), defined by the American Institute of Certified Public Accountants (AICPA), is the name of a set of reports that's produced during an audit. It's intended for use by service organizations (organizations that provide information systems as a service to other organizations) to issue validated reports of internal controls over those information systems to the users of those services. The reports focus on controls grouped into five categories known as Trust Service Principles.;213146990554;ap-southeast-2;2026-07-15 20:14:58.543427;cc_a_1_1;Measures Current Usage - The use of the system components is measured to establish a baseline for capacity management and to use when evaluating the risk of impaired availability due to capacity constraints. Forecasts Capacity - The expected average and peak use of system components is forecasted and compared to system capacity and associated tolerances. Forecasting considers capacity in the event of the failure of system components that constrain capacity. Makes Changes Based on Forecasts - The system change management process is initiated when forecasted usage exceeds capacity tolerances.;CCA1.0 - Additional Criterial for Availability;;;aws;automated;FAIL;Bedrock Model Invocation Logging is disabled.;arn:aws:bedrock:ap-southeast-2:213146990554:model-invocation-logging;bedrock_model_invocation_logging_enabled;False;model-invocation-logging;SOC2;System and Organization Controls 2 (SOC2);
aws;System and Organization Controls (SOC), defined by the American Institute of Certified Public Accountants (AICPA), is the name of a set of reports that's produced during an audit. It's intended for use by service organizations (organizations that provide information systems as a service to other organizations) to issue validated reports of internal controls over those information systems to the users of those services. The reports focus on controls grouped into five categories known as Trust Service Principles.;213146990554;ap-southeast-2;2026-07-15 20:14:58.543427;pi_1_4;The entity implements controls to ensure system outputs are delivered to authorized recipients in the correct format and protected against unauthorized access, modification, theft, destruction, or corruption. This includes output encryption, access controls, and audit trails for output delivery.;PI1.0 - Processing Integrity;;;aws;automated;PASS;CloudWatch doesn't allow cross-account sharing.;arn:aws:iam:ap-southeast-2:213146990554:role;cloudwatch_cross_account_sharing_disabled;False;213146990554;SOC2;System and Organization Controls 2 (SOC2);
