PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_SECTION;REQUIREMENTS_ATTRIBUTES_FUNCTION;REQUIREMENTS_ATTRIBUTES_ASSETTYPE;REQUIREMENTS_ATTRIBUTES_IMPLEMENTATIONGROUPS;STATUS;STATUSEXTENDED;RESOURCEID;RESOURCENAME;CHECKID;MUTED;FRAMEWORK;NAME
aws;The CIS Critical Security Controls (CIS Controls) v8.1 are a prioritized set of Safeguards to mitigate the most prevalent cyber-attacks against systems and networks. They are organized into 18 top-level Controls and mapped to three Implementation Groups (IG1, IG2, IG3). This is a cross-provider mapping of Prowler checks to the CIS Controls Safeguards that can be assessed automatically against cloud and platform configurations.;213146990554;ap-southeast-2;2026-07-15 20:14:58.543427;4.4;Implement and manage a firewall on servers, where supported. Example implementations include a virtual firewall, operating system firewall, or a third-party firewall agent.;4. Secure Configuration of Enterprise Assets and Software;Protect;Devices;IG1 | IG2 | IG3;PASS;Security group Kali Linux-2026.1-amd64-AutogenByAWSMP--4 (sg-044ad0ea7338dbce0) has 2 inbound rules and 1 outbound rules.;arn:aws:ec2:ap-southeast-2:213146990554:security-group/sg-044ad0ea7338dbce0;sg-044ad0ea7338dbce0;ec2_securitygroup_with_many_ingress_egress_rules;False;CIS-Controls;CIS Controls v8.1
aws;The CIS Critical Security Controls (CIS Controls) v8.1 are a prioritized set of Safeguards to mitigate the most prevalent cyber-attacks against systems and networks. They are organized into 18 top-level Controls and mapped to three Implementation Groups (IG1, IG2, IG3). This is a cross-provider mapping of Prowler checks to the CIS Controls Safeguards that can be assessed automatically against cloud and platform configurations.;213146990554;ap-southeast-2;2026-07-15 20:14:58.543427;4.4;Implement and manage a firewall on servers, where supported. Example implementations include a virtual firewall, operating system firewall, or a third-party firewall agent.;4. Secure Configuration of Enterprise Assets and Software;Protect;Devices;IG1 | IG2 | IG3;PASS;Security group launch-wizard-28 (sg-0003161c3fb914627) has 1 inbound rules and 1 outbound rules.;arn:aws:ec2:ap-southeast-2:213146990554:security-group/sg-0003161c3fb914627;sg-0003161c3fb914627;ec2_securitygroup_with_many_ingress_egress_rules;False;CIS-Controls;CIS Controls v8.1
aws;The CIS Critical Security Controls (CIS Controls) v8.1 are a prioritized set of Safeguards to mitigate the most prevalent cyber-attacks against systems and networks. They are organized into 18 top-level Controls and mapped to three Implementation Groups (IG1, IG2, IG3). This is a cross-provider mapping of Prowler checks to the CIS Controls Safeguards that can be assessed automatically against cloud and platform configurations.;213146990554;ap-southeast-2;2026-07-15 20:14:58.543427;4.4;Implement and manage a firewall on servers, where supported. Example implementations include a virtual firewall, operating system firewall, or a third-party firewall agent.;4. Secure Configuration of Enterprise Assets and Software;Protect;Devices;IG1 | IG2 | IG3;PASS;Security group Kali Linux-2026.1-amd64-AutogenByAWSMP--7 (sg-0b16338608e021959) has 3 inbound rules and 1 outbound rules.;arn:aws:ec2:ap-southeast-2:213146990554:security-group/sg-0b16338608e021959;sg-0b16338608e021959;ec2_securitygroup_with_many_ingress_egress_rules;False;CIS-Controls;CIS Controls v8.1
aws;The CIS Critical Security Controls (CIS Controls) v8.1 are a prioritized set of Safeguards to mitigate the most prevalent cyber-attacks against systems and networks. They are organized into 18 top-level Controls and mapped to three Implementation Groups (IG1, IG2, IG3). This is a cross-provider mapping of Prowler checks to the CIS Controls Safeguards that can be assessed automatically against cloud and platform configurations.;213146990554;ap-southeast-2;2026-07-15 20:14:58.543427;4.4;Implement and manage a firewall on servers, where supported. Example implementations include a virtual firewall, operating system firewall, or a third-party firewall agent.;4. Secure Configuration of Enterprise Assets and Software;Protect;Devices;IG1 | IG2 | IG3;PASS;Security group default (sg-09402e715b9924e03) has 1 inbound rules and 1 outbound rules.;arn:aws:ec2:ap-southeast-2:213146990554:security-group/sg-09402e715b9924e03;sg-09402e715b9924e03;ec2_securitygroup_with_many_ingress_egress_rules;False;CIS-Controls;CIS Controls v8.1
aws;The CIS Critical Security Controls (CIS Controls) v8.1 are a prioritized set of Safeguards to mitigate the most prevalent cyber-attacks against systems and networks. They are organized into 18 top-level Controls and mapped to three Implementation Groups (IG1, IG2, IG3). This is a cross-provider mapping of Prowler checks to the CIS Controls Safeguards that can be assessed automatically against cloud and platform configurations.;213146990554;ap-southeast-2;2026-07-15 20:14:58.543427;4.4;Implement and manage a firewall on servers, where supported. Example implementations include a virtual firewall, operating system firewall, or a third-party firewall agent.;4. Secure Configuration of Enterprise Assets and Software;Protect;Devices;IG1 | IG2 | IG3;PASS;Security group Kali Linux-2026.1-amd64-AutogenByAWSMP--6 (sg-034bdb14753e85207) has 1 inbound rules and 1 outbound rules.;arn:aws:ec2:ap-southeast-2:213146990554:security-group/sg-034bdb14753e85207;sg-034bdb14753e85207;ec2_securitygroup_with_many_ingress_egress_rules;False;CIS-Controls;CIS Controls v8.1
aws;The CIS Critical Security Controls (CIS Controls) v8.1 are a prioritized set of Safeguards to mitigate the most prevalent cyber-attacks against systems and networks. They are organized into 18 top-level Controls and mapped to three Implementation Groups (IG1, IG2, IG3). This is a cross-provider mapping of Prowler checks to the CIS Controls Safeguards that can be assessed automatically against cloud and platform configurations.;213146990554;ap-southeast-2;2026-07-15 20:14:58.543427;4.4;Implement and manage a firewall on servers, where supported. Example implementations include a virtual firewall, operating system firewall, or a third-party firewall agent.;4. Secure Configuration of Enterprise Assets and Software;Protect;Devices;IG1 | IG2 | IG3;PASS;Security group EG-SG (sg-03667e84668fbefee) has 5 inbound rules and 1 outbound rules.;arn:aws:ec2:ap-southeast-2:213146990554:security-group/sg-03667e84668fbefee;sg-03667e84668fbefee;ec2_securitygroup_with_many_ingress_egress_rules;False;CIS-Controls;CIS Controls v8.1
aws;The CIS Critical Security Controls (CIS Controls) v8.1 are a prioritized set of Safeguards to mitigate the most prevalent cyber-attacks against systems and networks. They are organized into 18 top-level Controls and mapped to three Implementation Groups (IG1, IG2, IG3). This is a cross-provider mapping of Prowler checks to the CIS Controls Safeguards that can be assessed automatically against cloud and platform configurations.;213146990554;ap-southeast-2;2026-07-15 20:14:58.543427;4.4;Implement and manage a firewall on servers, where supported. Example implementations include a virtual firewall, operating system firewall, or a third-party firewall agent.;4. Secure Configuration of Enterprise Assets and Software;Protect;Devices;IG1 | IG2 | IG3;PASS;Security group launch-wizard-2 (sg-0e3756b7faacf9749) has 3 inbound rules and 1 outbound rules.;arn:aws:ec2:ap-southeast-2:213146990554:security-group/sg-0e3756b7faacf9749;sg-0e3756b7faacf9749;ec2_securitygroup_with_many_ingress_egress_rules;False;CIS-Controls;CIS Controls v8.1
aws;The CIS Critical Security Controls (CIS Controls) v8.1 are a prioritized set of Safeguards to mitigate the most prevalent cyber-attacks against systems and networks. They are organized into 18 top-level Controls and mapped to three Implementation Groups (IG1, IG2, IG3). This is a cross-provider mapping of Prowler checks to the CIS Controls Safeguards that can be assessed automatically against cloud and platform configurations.;213146990554;ap-southeast-2;2026-07-15 20:14:58.543427;4.4;Implement and manage a firewall on servers, where supported. Example implementations include a virtual firewall, operating system firewall, or a third-party firewall agent.;4. Secure Configuration of Enterprise Assets and Software;Protect;Devices;IG1 | IG2 | IG3;PASS;Security group launch-wizard-16 (sg-0b8ded5ed0698a732) has 4 inbound rules and 1 outbound rules.;arn:aws:ec2:ap-southeast-2:213146990554:security-group/sg-0b8ded5ed0698a732;sg-0b8ded5ed0698a732;ec2_securitygroup_with_many_ingress_egress_rules;False;CIS-Controls;CIS Controls v8.1
aws;The CIS Critical Security Controls (CIS Controls) v8.1 are a prioritized set of Safeguards to mitigate the most prevalent cyber-attacks against systems and networks. They are organized into 18 top-level Controls and mapped to three Implementation Groups (IG1, IG2, IG3). This is a cross-provider mapping of Prowler checks to the CIS Controls Safeguards that can be assessed automatically against cloud and platform configurations.;213146990554;ap-southeast-2;2026-07-15 20:14:58.543427;4.4;Implement and manage a firewall on servers, where supported. Example implementations include a virtual firewall, operating system firewall, or a third-party firewall agent.;4. Secure Configuration of Enterprise Assets and Software;Protect;Devices;IG1 | IG2 | IG3;PASS;Security group launch-wizard-3 (sg-0a7306065b047c47a) has 1 inbound rules and 0 outbound rules.;arn:aws:ec2:ap-southeast-2:213146990554:security-group/sg-0a7306065b047c47a;sg-0a7306065b047c47a;ec2_securitygroup_with_many_ingress_egress_rules;False;CIS-Controls;CIS Controls v8.1
aws;The CIS Critical Security Controls (CIS Controls) v8.1 are a prioritized set of Safeguards to mitigate the most prevalent cyber-attacks against systems and networks. They are organized into 18 top-level Controls and mapped to three Implementation Groups (IG1, IG2, IG3). This is a cross-provider mapping of Prowler checks to the CIS Controls Safeguards that can be assessed automatically against cloud and platform configurations.;213146990554;ap-southeast-2;2026-07-15 20:14:58.543427;4.4;Implement and manage a firewall on servers, where supported. Example implementations include a virtual firewall, operating system firewall, or a third-party firewall agent.;4. Secure Configuration of Enterprise Assets and Software;Protect;Devices;IG1 | IG2 | IG3;PASS;Security group launch-wizard-21 (sg-0e126e8fe16324420) has 4 inbound rules and 1 outbound rules.;arn:aws:ec2:ap-southeast-2:213146990554:security-group/sg-0e126e8fe16324420;sg-0e126e8fe16324420;ec2_securitygroup_with_many_ingress_egress_rules;False;CIS-Controls;CIS Controls v8.1
