PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_FAMILYNAME;REQUIREMENTS_ATTRIBUTES_FAMILYDESCRIPTION;REQUIREMENTS_ATTRIBUTES_SECTION;REQUIREMENTS_ATTRIBUTES_SUBSECTION;REQUIREMENTS_ATTRIBUTES_SUBSECTIONOBJECTIVE;REQUIREMENTS_ATTRIBUTES_APPLICABILITY;REQUIREMENTS_ATTRIBUTES_RECOMMENDATION;REQUIREMENTS_ATTRIBUTES_SECTIONTHREATMAPPINGS;REQUIREMENTS_ATTRIBUTES_SECTIONGUIDELINEMAPPINGS;STATUS;STATUSEXTENDED;RESOURCEID;RESOURCENAME;CHECKID;MUTED
aws;Common Cloud Controls Catalog (CCC) for AWS;415019016144;ap-southeast-2;2026-07-10 17:23:12.798693;CCC.Core.CN05.AR02;When administrative access or configuration change is attempted on the service or a child resource, the service MUST refuse requests from unauthorized entities.;Identity and Access Management;The Identity and Access Management control family ensures that only trusted and authenticated entities can access resources. These controls establish strong authentication, enforce multi-factor verification, and restrict access to approved sources to prevent unauthorized use or data exfiltration.;CCC.Core.CN05 Prevent Access from Untrusted Entities;;Ensure that secure access controls enforce the principle of least privilege to restrict access to authorized entities from explicitly trusted sources only.;['tlp-clear', 'tlp-green', 'tlp-amber', 'tlp-red'];;[{'ReferenceId': 'CCC', 'Identifiers': ['CCC.Core.TH01']}];[{'ReferenceId': 'CCM', 'Identifiers': ['DSP-01', 'DSP-07', 'DSP-08', 'DSP-10', 'DSP-17']}];FAIL;IAM password policy does not require at least one symbol.;arn:aws:iam:ap-southeast-2:415019016144:password-policy;415019016144;iam_password_policy_symbol;False
aws;Common Cloud Controls Catalog (CCC) for AWS;415019016144;ap-southeast-2;2026-07-10 17:23:12.798693;CCC.IAM.CN05.AR01;When a new cloud account is provisioned, a password policy MUST be configured for IAM users following the minimum PCI DSS v4.0.1 configurations.;Identity and Access Management;Controls that restrict who can access and modify IAM resources.;CCC.IAM.CN05 Strong Password Policies for IAM Users;;Ensure that the password policies for IAM users have strong configurations.;['tlp-clear', 'tlp-green', 'tlp-amber', 'tlp-red'];When a new cloud account is provisioned, a password policy must be configured for all IAM users to align with the minimum requirements defined in PCI DSS v4.0.1. This includes, at a minimum: strength: 0 # Not yet specified - reference-id: A password length of at least 12 characters. strength: 0 # Not yet specified - reference-id: A mix of upper- and lower-case letters, numbers, and special characters. strength: 0 # Not yet specified - reference-id: Prevention of the use of previously used passwords (password history). strength: 0 # Not yet specified - reference-id: Password expiration at a defined interval (e.g., every 90 days). strength: 0 # Not yet specified - reference-id: Account lockout after a defined number of failed login attempts.;[{'ReferenceId': 'CCC', 'Identifiers': ['CCC.IAM.TH01']}];[{'ReferenceId': 'NIST-CSF', 'Identifiers': ['PR.AA-05']}, {'ReferenceId': 'NIST_800_53', 'Identifiers': ['IA-5']}, {'ReferenceId': 'PCI-DSS', 'Identifiers': ['8.3.9', '8.6.3']}];FAIL;IAM password policy does not require at least one symbol.;arn:aws:iam:ap-southeast-2:415019016144:password-policy;415019016144;iam_password_policy_symbol;False
aws;Common Cloud Controls Catalog (CCC) for AWS;415019016144;ap-southeast-2;2026-07-10 17:23:12.798693;CCC.Core.CN05.AR02;When administrative access or configuration change is attempted on the service or a child resource, the service MUST refuse requests from unauthorized entities.;Identity and Access Management;The Identity and Access Management control family ensures that only trusted and authenticated entities can access resources. These controls establish strong authentication, enforce multi-factor verification, and restrict access to approved sources to prevent unauthorized use or data exfiltration.;CCC.Core.CN05 Prevent Access from Untrusted Entities;;Ensure that secure access controls enforce the principle of least privilege to restrict access to authorized entities from explicitly trusted sources only.;['tlp-clear', 'tlp-green', 'tlp-amber', 'tlp-red'];;[{'ReferenceId': 'CCC', 'Identifiers': ['CCC.Core.TH01']}];[{'ReferenceId': 'CCM', 'Identifiers': ['DSP-01', 'DSP-07', 'DSP-08', 'DSP-10', 'DSP-17']}];FAIL;IAM password policy does not require at least one uppercase letter.;arn:aws:iam:ap-southeast-2:415019016144:password-policy;415019016144;iam_password_policy_uppercase;False
aws;Common Cloud Controls Catalog (CCC) for AWS;415019016144;ap-southeast-2;2026-07-10 17:23:12.798693;CCC.IAM.CN05.AR01;When a new cloud account is provisioned, a password policy MUST be configured for IAM users following the minimum PCI DSS v4.0.1 configurations.;Identity and Access Management;Controls that restrict who can access and modify IAM resources.;CCC.IAM.CN05 Strong Password Policies for IAM Users;;Ensure that the password policies for IAM users have strong configurations.;['tlp-clear', 'tlp-green', 'tlp-amber', 'tlp-red'];When a new cloud account is provisioned, a password policy must be configured for all IAM users to align with the minimum requirements defined in PCI DSS v4.0.1. This includes, at a minimum: strength: 0 # Not yet specified - reference-id: A password length of at least 12 characters. strength: 0 # Not yet specified - reference-id: A mix of upper- and lower-case letters, numbers, and special characters. strength: 0 # Not yet specified - reference-id: Prevention of the use of previously used passwords (password history). strength: 0 # Not yet specified - reference-id: Password expiration at a defined interval (e.g., every 90 days). strength: 0 # Not yet specified - reference-id: Account lockout after a defined number of failed login attempts.;[{'ReferenceId': 'CCC', 'Identifiers': ['CCC.IAM.TH01']}];[{'ReferenceId': 'NIST-CSF', 'Identifiers': ['PR.AA-05']}, {'ReferenceId': 'NIST_800_53', 'Identifiers': ['IA-5']}, {'ReferenceId': 'PCI-DSS', 'Identifiers': ['8.3.9', '8.6.3']}];FAIL;IAM password policy does not require at least one uppercase letter.;arn:aws:iam:ap-southeast-2:415019016144:password-policy;415019016144;iam_password_policy_uppercase;False
aws;Common Cloud Controls Catalog (CCC) for AWS;;;2026-07-10 17:23:12.798693;CCC.Core.CN01.AR07;When a port is exposed, the service MUST ensure that the protocol and service officially assigned to that port number by the IANA Service Name and Transport Protocol Port Number Registry, and no other, is run on that port.;Data;The Data control family ensures the confidentiality, integrity, availability, and sovereignty of data across its lifecycle. These controls govern how data is transmitted, stored, replicated, and protected from unauthorized access, tampering, or exposure beyond defined trust perimeters.;CCC.Core.CN01 Encrypt Data for Transmission;;Ensure that all communications are encrypted in transit to protect data integrity and confidentiality.;['tlp-clear', 'tlp-green', 'tlp-amber', 'tlp-red'];Reference the IANA Service Name and Transport Protocol Port Number Registry for more information about correct protocol-to-port assignments. Avoid running non-standard services on well-known ports.;[{'ReferenceId': 'CCC', 'Identifiers': ['CCC.Core.TH02']}];[{'ReferenceId': 'CCM', 'Identifiers': ['CEK-03', 'CEK-04', 'IVS-03', 'IVS-07']}];MANUAL;Manual check;manual_check;Manual check;manual;False
aws;Common Cloud Controls Catalog (CCC) for AWS;;;2026-07-10 17:23:12.798693;CCC.Monitor.CN01.AR01;When an External Monitoring system exceeds the anticipated rate of monitoring checks then Rate Limiting MUST be applied and an Audit Alert MUST be generated.;Logging and Monitoring;Controls that collect, alert, and retain events from other monitoring services.;CCC.Monitor.CN01 Rate Limiting on External Monitoring;;Prevent DoS attacks using External Monitoring tools.;['tlp-clear', 'tlp-green', 'tlp-amber', 'tlp-red'];;[{'ReferenceId': 'CCC', 'Identifiers': ['CCC.Monitor.TH03']}];[{'ReferenceId': 'NIST-CSF', 'Identifiers': ['PR.IR-01', 'DE.CM-01']}, {'ReferenceId': 'NIST_800_53', 'Identifiers': ['SC-5', 'SC-7']}];MANUAL;Manual check;manual_check;Manual check;manual;False
aws;Common Cloud Controls Catalog (CCC) for AWS;;;2026-07-10 17:23:12.798693;CCC.Monitor.CN02.AR01;When an Custom or User-Defined Metric starts to flood a collector, then a rate limit MUST be applied to reduce the network impact of traffic and an alert must triggered.;Logging and Monitoring;Controls that collect, alert, and retain events from other monitoring services.;CCC.Monitor.CN02 Rate Limiting on Metric Generation;;Prevent Malicious Actor or misconfiguration from flooding services with metric data.;['tlp-clear', 'tlp-green', 'tlp-amber', 'tlp-red'];;[{'ReferenceId': 'CCC', 'Identifiers': ['CCC.Monitor.TH06']}];[{'ReferenceId': 'NIST-CSF', 'Identifiers': ['DE.CM-01']}, {'ReferenceId': 'NIST_800_53', 'Identifiers': ['SC-5(2)', 'CA-7', 'SI-4']}];MANUAL;Manual check;manual_check;Manual check;manual;False
aws;Common Cloud Controls Catalog (CCC) for AWS;;;2026-07-10 17:23:12.798693;CCC.Monitor.CN05.AR01;When monitoring services have generated an alert, the service MUST ensure only authorised responders silence or acknowledge the alert.;Identity and Access Management;Controls designed to prevent unauthorised access to monitoring features.;CCC.Monitor.CN05 Restrict access to silence or acknowledge an alert;;Ensure only a subset of users can silence or acknowledge alerts to prevent attackers hiding their activity.;['tlp-clear', 'tlp-green', 'tlp-amber', 'tlp-red'];;[{'ReferenceId': 'CCC', 'Identifiers': ['CCC.Core.TH10']}];[{'ReferenceId': 'NIST-CSF', 'Identifiers': ['PR.IR-01', 'PR.AA-05']}, {'ReferenceId': 'NIST_800_53', 'Identifiers': ['AC-3']}];MANUAL;Manual check;manual_check;Manual check;manual;False
aws;Common Cloud Controls Catalog (CCC) for AWS;;;2026-07-10 17:23:12.798693;CCC.LB.CN05.AR01;When stickiness is enabled, session cookies MUST expire within 30 minutes of inactivity.;Identity and Access Management;Controls that restrict who can change or query load-balancer resources.;CCC.LB.CN05 Validate Session Affinity;;Configure session persistence to minimise fixation and hijacking risks.;['tlp-green', 'tlp-amber', 'tlp-red'];Audit CCC.LB.CP15 parameters via configuration scans.;[{'ReferenceId': 'LB', 'Identifiers': ['CCC.LB.TH04']}];[{'ReferenceId': 'NIST-CSF', 'Identifiers': ['PR.AC-7']}, {'ReferenceId': 'NIST_800_53', 'Identifiers': ['SC-23']}];MANUAL;Manual check;manual_check;Manual check;manual;False
aws;Common Cloud Controls Catalog (CCC) for AWS;;;2026-07-10 17:23:12.798693;CCC.LB.CN07.AR01;"When responses pass through the load balancer, the ""Server"" header MUST be replaced with ""lb"".";Data;Controls that preserve availability and confidentiality of traffic processed by the load balancer.;CCC.LB.CN07 Scrub Sensitive Headers;;Remove headers that disclose internal details or software versions from HTTP responses.;['tlp-green', 'tlp-amber', 'tlp-red'];Configure header-transformation rules.;[{'ReferenceId': 'LB', 'Identifiers': ['CCC.Core.TH15']}];[{'ReferenceId': 'NIST-CSF', 'Identifiers': ['PR.DS-2']}, {'ReferenceId': 'NIST_800_53', 'Identifiers': ['SC-13']}];MANUAL;Manual check;manual_check;Manual check;manual;False
