PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_SECTION;REQUIREMENTS_ATTRIBUTES_SUBSECTION;REQUIREMENTS_ATTRIBUTES_SUBGROUP;REQUIREMENTS_ATTRIBUTES_SERVICE;REQUIREMENTS_ATTRIBUTES_TYPE;STATUS;STATUSEXTENDED;RESOURCEID;CHECKID;MUTED;RESOURCENAME;FRAMEWORK;NAME;REQUIREMENTS_ATTRIBUTES_COMMENT
aws;ANNEX to the Commission Implementing Regulation laying down rules for the application of Directive (EU) 2022/2555 as regards technical and methodological requirements of cybersecurity risk-management measures and further specification of the cases in which an incident is considered to be significant with regard to DNS service providers, TLD name registries, cloud computing service providers, data centre service providers, content delivery network providers, managed service providers, managed security service providers, providers of online market places, of online search engines and of social networking services platforms, and trust service providers;213146990554;ap-southeast-2;2026-07-14 16:40:35.360893;9.2.c.v;"changing or updating keys, including rules on when and how to change keys;";9 CRYPTOGRAPHY (ARTICLE 21(2), POINT (H), OF DIRECTIVE (EU) 2022/2555);9.2 Cryptography;;iam;;FAIL;IAM password policy does not require at least one uppercase letter.;arn:aws:iam:ap-southeast-2:213146990554:password-policy;iam_password_policy_uppercase;False;213146990554;NIS2;NIS2 - Network and Information Security Directive (Directive (EU) 2022/2555);
aws;ANNEX to the Commission Implementing Regulation laying down rules for the application of Directive (EU) 2022/2555 as regards technical and methodological requirements of cybersecurity risk-management measures and further specification of the cases in which an incident is considered to be significant with regard to DNS service providers, TLD name registries, cloud computing service providers, data centre service providers, content delivery network providers, managed service providers, managed security service providers, providers of online market places, of online search engines and of social networking services platforms, and trust service providers;213146990554;ap-southeast-2;2026-07-14 16:40:35.360893;1.2.1;As part of their policy on the security of network and information systems referred to in point 1.1., the relevant entities shall lay down responsibilities and authorities for network and information system security and assign them to roles, allocate them according to the relevant entities needs, and communicate them to the management bodies.;1 POLICY ON THE SECURITY OF NETWORK AND INFORMATION SYSTEMS (ARTICLE 21(2), POINT (A) OF DIRECTIVE (EU) 2022/2555);1.2 Roles, responsibilities and authorities;;iam;;PASS;IAM Role Omico-2IDP does not have AdministratorAccess policy.;arn:aws:iam::213146990554:role/Omico-2IDP;iam_role_administratoraccess_policy;False;Omico-2IDP;NIS2;NIS2 - Network and Information Security Directive (Directive (EU) 2022/2555);
aws;ANNEX to the Commission Implementing Regulation laying down rules for the application of Directive (EU) 2022/2555 as regards technical and methodological requirements of cybersecurity risk-management measures and further specification of the cases in which an incident is considered to be significant with regard to DNS service providers, TLD name registries, cloud computing service providers, data centre service providers, content delivery network providers, managed service providers, managed security service providers, providers of online market places, of online search engines and of social networking services platforms, and trust service providers;213146990554;ap-southeast-2;2026-07-14 16:40:35.360893;11.3.1;The relevant entities shall maintain policies for management of privileged accounts and system administration accounts as part of the access control policy referred to in point 11.1.;11 ACCESS CONTROL (ARTICLE 21(2), POINTS (I) AND (J), OF DIRECTIVE (EU) 2022/2555);11.3 Privileged accounts and system administration accounts;;iam;;PASS;IAM Role Omico-2IDP does not have AdministratorAccess policy.;arn:aws:iam::213146990554:role/Omico-2IDP;iam_role_administratoraccess_policy;False;Omico-2IDP;NIS2;NIS2 - Network and Information Security Directive (Directive (EU) 2022/2555);
aws;ANNEX to the Commission Implementing Regulation laying down rules for the application of Directive (EU) 2022/2555 as regards technical and methodological requirements of cybersecurity risk-management measures and further specification of the cases in which an incident is considered to be significant with regard to DNS service providers, TLD name registries, cloud computing service providers, data centre service providers, content delivery network providers, managed service providers, managed security service providers, providers of online market places, of online search engines and of social networking services platforms, and trust service providers;213146990554;ap-southeast-2;2026-07-14 16:40:35.360893;3.1.2.c;"assignment of roles to detect and appropriately respond to incidents to competent employees;";3 INCIDENT HANDLING (ARTICLE 21(2), POINT (B), OF DIRECTIVE (EU) 2022/2555);3.1 Incident handling policy;;generic;;FAIL;IAM Service Role Amazon_EventBridge_Invoke_Step_Functions_347775329 does not prevent against a cross-service confused deputy attack.;arn:aws:iam::213146990554:role/service-role/Amazon_EventBridge_Invoke_Step_Functions_347775329;iam_role_cross_service_confused_deputy_prevention;False;Amazon_EventBridge_Invoke_Step_Functions_347775329;NIS2;NIS2 - Network and Information Security Directive (Directive (EU) 2022/2555);
aws;ANNEX to the Commission Implementing Regulation laying down rules for the application of Directive (EU) 2022/2555 as regards technical and methodological requirements of cybersecurity risk-management measures and further specification of the cases in which an incident is considered to be significant with regard to DNS service providers, TLD name registries, cloud computing service providers, data centre service providers, content delivery network providers, managed service providers, managed security service providers, providers of online market places, of online search engines and of social networking services platforms, and trust service providers;213146990554;ap-southeast-2;2026-07-14 16:40:35.360893;6.8.2.a;"consider the functional, logical and physical relationship, including location, between trustworthy systems and services;";6 SECURITY IN NETWORK AND INFORMATION SYSTEMS ACQUISITION, DEVELOPMENT AND MAINTENANCE (ARTICLE 21(2), POINT (E), OF DIRECTIVE (EU) 2022/2555);6.8 Network segmentation;;generic;;FAIL;IAM Service Role Amazon_EventBridge_Invoke_Step_Functions_347775329 does not prevent against a cross-service confused deputy attack.;arn:aws:iam::213146990554:role/service-role/Amazon_EventBridge_Invoke_Step_Functions_347775329;iam_role_cross_service_confused_deputy_prevention;False;Amazon_EventBridge_Invoke_Step_Functions_347775329;NIS2;NIS2 - Network and Information Security Directive (Directive (EU) 2022/2555);
aws;ANNEX to the Commission Implementing Regulation laying down rules for the application of Directive (EU) 2022/2555 as regards technical and methodological requirements of cybersecurity risk-management measures and further specification of the cases in which an incident is considered to be significant with regard to DNS service providers, TLD name registries, cloud computing service providers, data centre service providers, content delivery network providers, managed service providers, managed security service providers, providers of online market places, of online search engines and of social networking services platforms, and trust service providers;213146990554;ap-southeast-2;2026-07-14 16:40:35.360893;3.1.2.c;"assignment of roles to detect and appropriately respond to incidents to competent employees;";3 INCIDENT HANDLING (ARTICLE 21(2), POINT (B), OF DIRECTIVE (EU) 2022/2555);3.1 Incident handling policy;;generic;;FAIL;IAM Service Role backups-progress-role-11zn78wb does not prevent against a cross-service confused deputy attack.;arn:aws:iam::213146990554:role/service-role/backups-progress-role-11zn78wb;iam_role_cross_service_confused_deputy_prevention;False;backups-progress-role-11zn78wb;NIS2;NIS2 - Network and Information Security Directive (Directive (EU) 2022/2555);
aws;ANNEX to the Commission Implementing Regulation laying down rules for the application of Directive (EU) 2022/2555 as regards technical and methodological requirements of cybersecurity risk-management measures and further specification of the cases in which an incident is considered to be significant with regard to DNS service providers, TLD name registries, cloud computing service providers, data centre service providers, content delivery network providers, managed service providers, managed security service providers, providers of online market places, of online search engines and of social networking services platforms, and trust service providers;213146990554;ap-southeast-2;2026-07-14 16:40:35.360893;6.8.2.a;"consider the functional, logical and physical relationship, including location, between trustworthy systems and services;";6 SECURITY IN NETWORK AND INFORMATION SYSTEMS ACQUISITION, DEVELOPMENT AND MAINTENANCE (ARTICLE 21(2), POINT (E), OF DIRECTIVE (EU) 2022/2555);6.8 Network segmentation;;generic;;FAIL;IAM Service Role backups-progress-role-11zn78wb does not prevent against a cross-service confused deputy attack.;arn:aws:iam::213146990554:role/service-role/backups-progress-role-11zn78wb;iam_role_cross_service_confused_deputy_prevention;False;backups-progress-role-11zn78wb;NIS2;NIS2 - Network and Information Security Directive (Directive (EU) 2022/2555);
aws;ANNEX to the Commission Implementing Regulation laying down rules for the application of Directive (EU) 2022/2555 as regards technical and methodological requirements of cybersecurity risk-management measures and further specification of the cases in which an incident is considered to be significant with regard to DNS service providers, TLD name registries, cloud computing service providers, data centre service providers, content delivery network providers, managed service providers, managed security service providers, providers of online market places, of online search engines and of social networking services platforms, and trust service providers;213146990554;ap-southeast-2;2026-07-14 16:40:35.360893;3.1.2.c;"assignment of roles to detect and appropriately respond to incidents to competent employees;";3 INCIDENT HANDLING (ARTICLE 21(2), POINT (B), OF DIRECTIVE (EU) 2022/2555);3.1 Incident handling policy;;generic;;FAIL;IAM Service Role backups-trigger-lambda-function-role does not prevent against a cross-service confused deputy attack.;arn:aws:iam::213146990554:role/service-role/backups-trigger-lambda-function-role;iam_role_cross_service_confused_deputy_prevention;False;backups-trigger-lambda-function-role;NIS2;NIS2 - Network and Information Security Directive (Directive (EU) 2022/2555);
aws;ANNEX to the Commission Implementing Regulation laying down rules for the application of Directive (EU) 2022/2555 as regards technical and methodological requirements of cybersecurity risk-management measures and further specification of the cases in which an incident is considered to be significant with regard to DNS service providers, TLD name registries, cloud computing service providers, data centre service providers, content delivery network providers, managed service providers, managed security service providers, providers of online market places, of online search engines and of social networking services platforms, and trust service providers;213146990554;ap-southeast-2;2026-07-14 16:40:35.360893;6.8.2.a;"consider the functional, logical and physical relationship, including location, between trustworthy systems and services;";6 SECURITY IN NETWORK AND INFORMATION SYSTEMS ACQUISITION, DEVELOPMENT AND MAINTENANCE (ARTICLE 21(2), POINT (E), OF DIRECTIVE (EU) 2022/2555);6.8 Network segmentation;;generic;;FAIL;IAM Service Role backups-trigger-lambda-function-role does not prevent against a cross-service confused deputy attack.;arn:aws:iam::213146990554:role/service-role/backups-trigger-lambda-function-role;iam_role_cross_service_confused_deputy_prevention;False;backups-trigger-lambda-function-role;NIS2;NIS2 - Network and Information Security Directive (Directive (EU) 2022/2555);
aws;ANNEX to the Commission Implementing Regulation laying down rules for the application of Directive (EU) 2022/2555 as regards technical and methodological requirements of cybersecurity risk-management measures and further specification of the cases in which an incident is considered to be significant with regard to DNS service providers, TLD name registries, cloud computing service providers, data centre service providers, content delivery network providers, managed service providers, managed security service providers, providers of online market places, of online search engines and of social networking services platforms, and trust service providers;213146990554;ap-southeast-2;2026-07-14 16:40:35.360893;3.1.2.c;"assignment of roles to detect and appropriately respond to incidents to competent employees;";3 INCIDENT HANDLING (ARTICLE 21(2), POINT (B), OF DIRECTIVE (EU) 2022/2555);3.1 Incident handling policy;;generic;;FAIL;IAM Service Role StepFunctions-ConfluenceBackupStepFunctionTest-role-xzrbs7uh9 does not prevent against a cross-service confused deputy attack.;arn:aws:iam::213146990554:role/service-role/StepFunctions-ConfluenceBackupStepFunctionTest-role-xzrbs7uh9;iam_role_cross_service_confused_deputy_prevention;False;StepFunctions-ConfluenceBackupStepFunctionTest-role-xzrbs7uh9;NIS2;NIS2 - Network and Information Security Directive (Directive (EU) 2022/2555);
aws;ANNEX to the Commission Implementing Regulation laying down rules for the application of Directive (EU) 2022/2555 as regards technical and methodological requirements of cybersecurity risk-management measures and further specification of the cases in which an incident is considered to be significant with regard to DNS service providers, TLD name registries, cloud computing service providers, data centre service providers, content delivery network providers, managed service providers, managed security service providers, providers of online market places, of online search engines and of social networking services platforms, and trust service providers;213146990554;ap-southeast-2;2026-07-14 16:40:35.360893;6.8.2.a;"consider the functional, logical and physical relationship, including location, between trustworthy systems and services;";6 SECURITY IN NETWORK AND INFORMATION SYSTEMS ACQUISITION, DEVELOPMENT AND MAINTENANCE (ARTICLE 21(2), POINT (E), OF DIRECTIVE (EU) 2022/2555);6.8 Network segmentation;;generic;;FAIL;IAM Service Role StepFunctions-ConfluenceBackupStepFunctionTest-role-xzrbs7uh9 does not prevent against a cross-service confused deputy attack.;arn:aws:iam::213146990554:role/service-role/StepFunctions-ConfluenceBackupStepFunctionTest-role-xzrbs7uh9;iam_role_cross_service_confused_deputy_prevention;False;StepFunctions-ConfluenceBackupStepFunctionTest-role-xzrbs7uh9;NIS2;NIS2 - Network and Information Security Directive (Directive (EU) 2022/2555);
