PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_NAME;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_CATEGORY;REQUIREMENTS_ATTRIBUTES_OBJETIVE_ID;REQUIREMENTS_ATTRIBUTES_OBJETIVE_NAME;REQUIREMENTS_ATTRIBUTES_CHECK_SUMMARY;STATUS;STATUSEXTENDED;RESOURCEID;CHECKID;MUTED;RESOURCENAME;FRAMEWORK;NAME
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;415019016144;ap-southeast-2;2026-07-14 11:18:26.847347;A.9.3.D;User Responsibilities;Ensure IAM password policy require at least one number;A.9 Access Control;A.9.3.D;User Responsibilities;Ensure IAM password policy require at least one number;FAIL;IAM password policy does not require at least one number.;arn:aws:iam:ap-southeast-2:415019016144:password-policy;iam_password_policy_number;False;415019016144;ISO27001;ISO/IEC 27001 Information Security Management Standard 2013
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;415019016144;ap-southeast-2;2026-07-14 11:18:26.847347;A.9.4.D;System and Application Access Control;Ensure IAM password policy require at least one number;A.9 Access Control;A.9.4.D;System and Application Access Control;Ensure IAM password policy require at least one number;FAIL;IAM password policy does not require at least one number.;arn:aws:iam:ap-southeast-2:415019016144:password-policy;iam_password_policy_number;False;415019016144;ISO27001;ISO/IEC 27001 Information Security Management Standard 2013
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;415019016144;ap-southeast-2;2026-07-14 11:18:26.847347;A.9.2.B;User Access Management;Ensure IAM password policy prevents password reuse;A.9 Access Control;A.9.2.B;User Access Management;Ensure IAM password policy prevents password reuse;FAIL;IAM password policy reuse prevention is less than 24 or not set.;arn:aws:iam:ap-southeast-2:415019016144:password-policy;iam_password_policy_reuse_24;False;415019016144;ISO27001;ISO/IEC 27001 Information Security Management Standard 2013
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;415019016144;ap-southeast-2;2026-07-14 11:18:26.847347;A.9.3.B;User Responsibilities;Ensure IAM password policy prevents password reuse;A.9 Access Control;A.9.3.B;User Responsibilities;Ensure IAM password policy prevents password reuse;FAIL;IAM password policy reuse prevention is less than 24 or not set.;arn:aws:iam:ap-southeast-2:415019016144:password-policy;iam_password_policy_reuse_24;False;415019016144;ISO27001;ISO/IEC 27001 Information Security Management Standard 2013
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;415019016144;ap-southeast-2;2026-07-14 11:18:26.847347;A.9.4.B;System and Application Access Control;Ensure IAM password policy prevents password reuse;A.9 Access Control;A.9.4.B;System and Application Access Control;Ensure IAM password policy prevents password reuse;FAIL;IAM password policy reuse prevention is less than 24 or not set.;arn:aws:iam:ap-southeast-2:415019016144:password-policy;iam_password_policy_reuse_24;False;415019016144;ISO27001;ISO/IEC 27001 Information Security Management Standard 2013
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;415019016144;ap-southeast-2;2026-07-14 11:18:26.847347;A.9.2.E;User Access Management;Ensure IAM password policy require at least one symbol;A.9 Access Control;A.9.2.E;User Access Management;Ensure IAM password policy require at least one symbol;FAIL;IAM password policy does not require at least one symbol.;arn:aws:iam:ap-southeast-2:415019016144:password-policy;iam_password_policy_symbol;False;415019016144;ISO27001;ISO/IEC 27001 Information Security Management Standard 2013
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;415019016144;ap-southeast-2;2026-07-14 11:18:26.847347;A.9.3.E;User Responsibilities;Ensure IAM password policy require at least one symbol;A.9 Access Control;A.9.3.E;User Responsibilities;Ensure IAM password policy require at least one symbol;FAIL;IAM password policy does not require at least one symbol.;arn:aws:iam:ap-southeast-2:415019016144:password-policy;iam_password_policy_symbol;False;415019016144;ISO27001;ISO/IEC 27001 Information Security Management Standard 2013
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;415019016144;ap-southeast-2;2026-07-14 11:18:26.847347;A.9.4.E;System and Application Access Control;Ensure IAM password policy require at least one symbol;A.9 Access Control;A.9.4.E;System and Application Access Control;Ensure IAM password policy require at least one symbol;FAIL;IAM password policy does not require at least one symbol.;arn:aws:iam:ap-southeast-2:415019016144:password-policy;iam_password_policy_symbol;False;415019016144;ISO27001;ISO/IEC 27001 Information Security Management Standard 2013
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;415019016144;ap-southeast-2;2026-07-14 11:18:26.847347;A.9.2.G;User Access Management;Ensure IAM password policy requires at least one uppercase letter;A.9 Access Control;A.9.2.G;User Access Management;Ensure IAM password policy requires at least one uppercase letter;FAIL;IAM password policy does not require at least one uppercase letter.;arn:aws:iam:ap-southeast-2:415019016144:password-policy;iam_password_policy_uppercase;False;415019016144;ISO27001;ISO/IEC 27001 Information Security Management Standard 2013
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;415019016144;ap-southeast-2;2026-07-14 11:18:26.847347;A.9.3.G;User Responsibilities;Ensure IAM password policy requires at least one uppercase letter;A.9 Access Control;A.9.3.G;User Responsibilities;Ensure IAM password policy requires at least one uppercase letter;FAIL;IAM password policy does not require at least one uppercase letter.;arn:aws:iam:ap-southeast-2:415019016144:password-policy;iam_password_policy_uppercase;False;415019016144;ISO27001;ISO/IEC 27001 Information Security Management Standard 2013
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;415019016144;ap-southeast-2;2026-07-14 11:18:26.847347;A.9.4.G;System and Application Access Control;Ensure IAM password policy requires at least one uppercase letter;A.9 Access Control;A.9.4.G;System and Application Access Control;Ensure IAM password policy requires at least one uppercase letter;FAIL;IAM password policy does not require at least one uppercase letter.;arn:aws:iam:ap-southeast-2:415019016144:password-policy;iam_password_policy_uppercase;False;415019016144;ISO27001;ISO/IEC 27001 Information Security Management Standard 2013
